Timestamp	R_0	C_0	R_1	C_1	R_2	C_2	R_3	C_3
0.0	2.09664e+04	4.64995e-11	4.54809e+04	7.37447e-11	9.29733e+04	1.12985e-10	1.82676e+05	1.25084e-10
0.047872	2.10116e+04	4.65835e-11	4.54809e+04	7.37447e-11	9.29733e+04	1.12985e-10	1.82676e+05	1.25084e-10
0.097738	2.09664e+04	4.64995e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.128656	2.09664e+04	4.64995e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.174536	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.208443	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.256315	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.289228	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.336103	2.09213e+04	4.64147e-11	4.54108e+04	7.39911e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.383975	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.414893	2.09213e+04	4.64147e-11	4.54108e+04	7.39911e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.463763	2.08748e+04	4.67445e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.495677	2.08748e+04	4.67445e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.54355	2.08765e+04	4.63292e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.576462	2.09447e+04	4.62509e-11	4.54070e+04	7.38706e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
0.625331	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.671209	2.09201e+04	4.68292e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.705119	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.751994	2.09213e+04	4.64147e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.783909	2.08765e+04	4.63292e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.830785	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.864694	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.911568	2.09664e+04	4.64995e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.959441	2.09447e+04	4.62509e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
0.991356	2.08531e+04	4.64937e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.039229	2.08748e+04	4.67445e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.071143	2.09655e+04	4.69131e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.08981e+04	4.65792e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.09664e+04	4.64995e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
1.696477	2.09886e+04	4.67479e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.08981e+04	4.65792e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
1.696477	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29733e+04	1.12985e-10	1.82676e+05	1.25084e-10
1.696477	2.08748e+04	4.67445e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.09213e+04	4.64147e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.08748e+04	4.67445e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.09432e+04	4.66640e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.696477	2.08297e+04	4.66591e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.727393	2.09213e+04	4.64147e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
1.775265	2.08765e+04	4.63292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.823138	2.08981e+04	4.65792e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.861037	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29733e+04	1.12985e-10	1.82809e+05	1.25053e-10
1.902925	2.08765e+04	4.63292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
1.93484	2.08531e+04	4.64937e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
1.988696	2.08765e+04	4.63292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.030585	2.08531e+04	4.64937e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.070479	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
2.121343	2.09201e+04	4.68292e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.155252	2.09432e+04	4.66640e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.199138	2.10116e+04	4.65835e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.238031	2.09655e+04	4.69131e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.320812	2.09884e+04	4.71621e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.320812	2.09426e+04	4.70790e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
2.361703	2.08065e+04	4.68252e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.391622	2.09432e+04	4.66640e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.431547	2.09886e+04	4.67479e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.511307	2.09886e+04	4.67479e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
2.512301	2.09201e+04	4.68292e-11	4.55626e+04	7.38586e-11	9.29733e+04	1.12985e-10	1.82676e+05	1.25084e-10
2.566157	2.08531e+04	4.64937e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.612035	2.08981e+04	4.65792e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.657915	2.10341e+04	4.68311e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
2.684842	2.10116e+04	4.65835e-11	4.54070e+04	7.38706e-11	9.29733e+04	1.12985e-10	1.82676e+05	1.25084e-10
2.739698	2.08981e+04	4.65792e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.785573	2.08531e+04	4.64937e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.802527	2.09432e+04	4.66640e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.848405	2.08981e+04	4.65792e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.879322	2.08531e+04	4.64937e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.941157	2.08517e+04	4.69106e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
2.964096	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.01496	2.09886e+04	4.67479e-11	4.54108e+04	7.39911e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.063829	2.09432e+04	4.66640e-11	4.54928e+04	7.41054e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.092753	2.08981e+04	4.65792e-11	4.54108e+04	7.39911e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.140625	2.08981e+04	4.65792e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.180518	2.08748e+04	4.67445e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
3.24036	2.08981e+04	4.65792e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.254322	2.08981e+04	4.65792e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.31117	2.09201e+04	4.68292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.368019	2.10116e+04	4.65835e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.389961	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.429854	2.08297e+04	4.66591e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
3.492689	2.08981e+04	4.65792e-11	4.54108e+04	7.39911e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.509641	2.08748e+04	4.67445e-11	4.54108e+04	7.39911e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.549535	2.08748e+04	4.67445e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
3.594415	2.09886e+04	4.67479e-11	4.54928e+04	7.41054e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.638299	2.09655e+04	4.69131e-11	4.54887e+04	7.39850e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
3.672208	2.09201e+04	4.68292e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
3.727061	2.08748e+04	4.67445e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.758975	2.09886e+04	4.67479e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
3.79488	2.09432e+04	4.66640e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.860705	2.09664e+04	4.64995e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.895613	2.09664e+04	4.64995e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.92653	2.09664e+04	4.64995e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
3.961437	2.09432e+04	4.66640e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.027263	2.09432e+04	4.66640e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
4.03125	2.09664e+04	4.64995e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.08012	2.09213e+04	4.64147e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.111038	2.09432e+04	4.66640e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.161902	2.09432e+04	4.66640e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.270614	2.09655e+04	4.69131e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
4.299535	2.08748e+04	4.67445e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.308511	2.09886e+04	4.67479e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.328458	2.09886e+04	4.67479e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.373339	2.09432e+04	4.66640e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
4.482054	2.08297e+04	4.66591e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.482054	2.08748e+04	4.67445e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.498006	2.09664e+04	4.64995e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.530918	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.636636	2.09201e+04	4.68292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.68052	2.09886e+04	4.67479e-11	4.55667e+04	7.39786e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
4.686503	2.08981e+04	4.65792e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.693485	2.08981e+04	4.65792e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
4.75133	2.09886e+04	4.67479e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
4.839096	2.09664e+04	4.64995e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.859044	2.09213e+04	4.64147e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.892952	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.903924	2.09886e+04	4.67479e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
4.952793	2.10116e+04	4.65835e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.038565	2.09664e+04	4.64995e-11	4.55626e+04	7.38586e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
5.079455	2.08981e+04	4.65792e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.088432	2.09664e+04	4.64995e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.104389	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.167221	2.09432e+04	4.66640e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
5.223072	2.08748e+04	4.67445e-11	4.54108e+04	7.39911e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.249004	2.09201e+04	4.68292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.294882	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.314828	2.09213e+04	4.64147e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.364695	2.08999e+04	4.61654e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.455453	2.08765e+04	4.63292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.474402	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29733e+04	1.12985e-10	1.82676e+05	1.25084e-10
5.518286	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.52427	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.557182	2.09201e+04	4.68292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82809e+05	1.25053e-10
5.679855	2.08748e+04	4.67445e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
5.725732	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.725732	2.09432e+04	4.66640e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.733712	2.09886e+04	4.67479e-11	4.54070e+04	7.38706e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
5.77161	2.09201e+04	4.68292e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.811504	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.838432	2.09886e+04	4.67479e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82809e+05	1.25053e-10
5.887301	2.09432e+04	4.66640e-11	4.54887e+04	7.39850e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
5.935174	2.09432e+04	4.66640e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
5.977062	2.08748e+04	4.67445e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.026929	2.08748e+04	4.67445e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.047874	2.08970e+04	4.69952e-11	4.55586e+04	7.37388e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.094748	2.09201e+04	4.68292e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.126663	2.09201e+04	4.68292e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.175533	2.09201e+04	4.68292e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.223406	2.09655e+04	4.69131e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.255323	2.09886e+04	4.67479e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.303192	2.09886e+04	4.67479e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.347075	2.09201e+04	4.68292e-11	4.55626e+04	7.38586e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.382979	2.08981e+04	4.65792e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.414894	2.08531e+04	4.64937e-11	4.54070e+04	7.38706e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.462766	2.08981e+04	4.65792e-11	4.54887e+04	7.39850e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.510639	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
6.544549	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.595413	2.08531e+04	4.64937e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.62633	2.09201e+04	4.68292e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.748006	2.10116e+04	4.65835e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.748006	2.08981e+04	4.65792e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.775933	2.09201e+04	4.68292e-11	4.54809e+04	7.37447e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.818818	2.09201e+04	4.68292e-11	4.55626e+04	7.38586e-11	9.30320e+04	1.12849e-10	1.82676e+05	1.25084e-10
6.833778	2.09432e+04	4.66640e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82758e+05	1.25135e-10
6.966424	2.09886e+04	4.67479e-11	4.54847e+04	7.38647e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
6.966424	2.09664e+04	4.64995e-11	4.54033e+04	7.37504e-11	9.29105e+04	1.12895e-10	1.82676e+05	1.25084e-10
